Unnamed: 0,text,summary
0," Attention Is All You Need
Ashish Vaswani
Google Brain
avaswani@google.comNoam Shazeer
Google Brain
noam@google.comNiki Parmar
Google Research
nikip@google.comJakob Uszkoreit
Google Research
usz@google.com
Llion Jones
Google Research
llion@google.comAidan N. Gomezy
University of Toronto
aidan@cs.toronto.eduŁukasz Kaiser
Google Brain
lukaszkaiser@google.com
Illia Polosukhinz
illia.polosukhin@gmail.com
Abstract
The dominant sequence transduction models are based on complex recurrent or
convolutional neural networks that include an encoder and a decoder. The best
performing models also connect the encoder and decoder through an attention
mechanism. We propose a new simple network architecture, the Transformer,
based solely on attention mechanisms, dispensing with recurrence and convolutions
entirely. Experiments on two machine translation tasks show these models to
be superior in quality while being more parallelizable and requiring signiﬁcantly
less time to train. Our model achieves 28.4 BLEU on the WMT 2014 English-
to-German translation task, improving over the existing best results, including
ensembles, by over 2 BLEU. On the WMT 2014 English-to-French translation task,
our model establishes a new single-model state-of-the-art BLEU score of 41.8 after
training for 3.5 days on eight GPUs, a small fraction of the training costs of the
best models from the literature. We show that the Transformer generalizes well to
other tasks by applying it successfully to English constituency parsing both with
large and limited training data.
1 Introduction
Recurrent neural networks, long short-term memory [ 13] and gated recurrent [ 7] neural networks
in particular, have been ﬁrmly established as state of the art approaches in sequence modeling and
Equal contribution. Listing order is random. Jakob proposed replacing RNNs with self-attention and started
the effort to evaluate this idea. Ashish, with Illia, designed and implemented the ﬁrst Transformer models and
has been crucially involved in every aspect of this work. Noam proposed scaled dot-product attention, multi-head
attention and the parameter-free position representation and became the other person involved in nearly every
detail. Niki designed, implemented, tuned and evaluated countless model variants in our original codebase and
tensor2tensor. Llion also experimented with novel model variants, was responsible for our initial codebase, and
efﬁcient inference and visualizations. Lukasz and Aidan spent countless long days designing various parts of and
implementing tensor2tensor, replacing our earlier codebase, greatly improving results and massively accelerating
our research.
yWork performed while at Google Brain.
zWork performed while at Google Research.
31st Conference on Neural Information Processing Systems (NIPS 2017), Long Beach, CA, USA.arXiv:1706.03762v5  [cs.CL]  6 Dec 2017 transduction problems such as language modeling and machine translation [ 35,2,5]. Numerous
efforts have since continued to push the boundaries of recurrent language models and encoder-decoder
architectures [38, 24, 15].
Recurrent models typically factor computation along the symbol positions of the input and output
sequences. Aligning the positions to steps in computation time, they generate a sequence of hidden
statesht, as a function of the previous hidden state ht"," This paper proposes the Transformer, a model architecture based on attention mechanisms that is superior in quality and requires less time to train than other models. It achieved a BLEU score of 28.4 on the WMT 2014 English-to-German translation task and a BLEU score of 41.8 on the WMT 2014 English-to-French translation task. The Transformer was also successfully applied to English constituency parsing and other tasks. The paper also discusses the attention mechanism, computational complexity, parallelization, and maximum path length of different layer types."
1," On the Beneﬁts of Biophysical Synapses
Julian Lemmel, Radu Grosu
Faculty of Informatics of Technische Universit ¨at Wien, Austria.
julian.lemmel@tuwien.ac.at, radu.grosu@tuwien.ac.at
Abstract
The approximation capability of ANNs and their RNN instan-
tiations, is strongly correlated with the number of parameters
packed into these networks. However, the complexity barrier
for human understanding, is arguably related to the number
of neurons and synapses in the networks, and to the associ-
ated nonlinear transformations. In this paper we show that
the use of biophysical synapses, as found in LTCs, have two
main beneﬁts. First, they allow to pack more parameters for
a given number of neurons and synapses. Second, they allow
to formulate the nonlinear-network transformation, as a linear
system with state-dependent coefﬁcients. Both increase inter-
pretability, as for a given task, they allow to learn a system
linear in its input features, that is smaller in size compared
to the state of the art. We substantiate the above claims on
various time-series prediction tasks, but we believe that our
results are applicable to any feedforward or recurrent ANN.
Introduction
Inspired by spiking neurons, artiﬁcial neurons (ANs) com-
bine in one unit, the additive behavior of biological neurons
with the graded nonlinear behavior of their synapses (Bishop
1995; Goodfellow, Bengio, and Courville 2016). This makes
ANs implausible from a biophysical point of view, and pre-
cluded their adoption in neural science.
Artiﬁcial neural networks (ANNs) however, correct this
biological blunder. In ANNs it is irrelevant what is the mean-
ing of a neuron, and what is that of a synapse. What mat-
ters, is the mathematical expression of the network itself.
This was best exempliﬁed by ResNets, which were forced,
for technical reasons, to separate the additive transforma-
tion from the graded one, and introduce new state variables,
which are the outputs of the additive neural, rather than the
nonlinear synaptic units (He et al. 2016).
This separation allows us to reconcile ResNets with liq-
uid time-constant neural networks (LTCs), a biophysical
model for nonspiking neurons, that shares architectural mo-
tifs, such as activation, inhibition, sequentialization, mutual
exclusion, and synchronization, with gene regulatory net-
works (Lechner et al. 2019, 2020; Hasani et al. 2021; Alon
2007). LTCs capture the behavior of neurons in the retina of
large species (Kandel et al. 2013), and that of the neurons
Copyright © 2022, Association for the Advancement of Artiﬁcial
Intelligence (www.aaai.org). All rights reserved.in small species, such as the C.elegans nematode (Wicks,
Roehrig, and Rankin 1996). In LTCs, a neuron is a capaci-
tor, and its rate of change is the sum of a leaking current, and
of synaptic currents. The conductance of a synapse varies in
a graded nonlinear fashion with the potential of the presy-
naptic neuron, and this is multiplied with a difference of po-
tential of the postsynaptic neuron, to produce the synaptic
current. Hence, the graded nonlinear transformation is the
one that synapses perform, which is indeed the case in na-
ture, and not the one performed by neurons.
In contrast to ResNets, NeuralODEs and CT-RNNs (Chen
et al. 2018; Funahashi and Nakamura 1993), LTCs multi-
ply (or gate) the conductance with a difference of poten-
tial. This is dictated by physics, as one needs to obtain a
current. Gating makes each neuron interpretable as a lin-
ear system with state-dependent coefﬁcients (Alvarez-Melis
and Jaakkola 2018; C ¸ imen 2008). Moreover, LTCs associate
each activation function to a synapse (like in nature) and not
to a neuron (like in ANNs). This allows LTCs to pack con-
siderably more parameters in a network with a given number
of neurons and synapses. As the approximation capability
of ANNs and LTCs is strongly correlated with their num-
ber of learnable parameters, LTCs are able to approximate of neurons and synapses. As the approximation capability
of ANNs and LTCs is strongly correlated with their num-
ber of learnable parameters, LTCs are able to approximate
the same behavior with a much smaller network, that is ex-
plainable in terms of its architectural motifs. We argue that
nonlinearity and the size of a neural network are the major
complexity barriers for human understanding.
Moving the activation functions to synapses can be ac-
complished in any ANN, with the same beneﬁts as for LTCs
in network-size reduction. The gating of sigmoidal activa-
tion functions can be replaced with hyperbolic-tangent acti-
vation functions. However, one looses the biophysical inter-
pretation of a neural network, the linear interpretation of its
neurons, and the polarity of its synapses.
We compared the expressive power of LTCs with that
of CT-RNNs, (Augmented) NeuralODEs, LSTMs, and CT-
GRUs, for various recurrent tasks. In this comparison, we
considered LTCs and CT-RNNs with both neural and synap-
tic activation functions. We also investigated the beneﬁts of
gating sigmoidal activation with a difference of potential.
Our results show that synaptic activation considerably re-
duces the number of neurons and associated synapses re-
quired to solve a task, not only in LTCs but also in CT-
RNNs. We also show that the use of hyperbolic-tangent ac-arXiv:2303.04944v1  [cs.NE]  8 Mar 2023 tivation functions in CT-RNNs has similar expressive power
as gating sigmoids with a difference of potential, but it
looses the linear interpretation.
The rest of the paper is structured as follows. First, we
provide a fresh look into ANNs, ResNets, NeuralODEs, CT-
RNNs, and LTCs. This paves the way to then show the ben-
eﬁts of biophysical synapses in various recurrent tasks. Fi-
nally we discuss our results and touch on future work.
A Fresh Look at Neural Networks
Artiﬁcial Neural Networks
An AN receives one or more inputs, sums them up in a linear
fashion, and passes the result through a nonlinear activation
function, whose bias bis the condition for the neuron to ﬁre
(spike). However, activation is graded (non-spiking), with
smooth (e.g. sigmoidal) shape. Formally:
yt+1
i=(nX
j=1wt
jiyt
j+bt+1
i)(x) =1
1 +e"," This paper examines the use of biophysical synapses in Artificial Neural Networks (ANNs) and Long-Term Context (LTC) networks. It is argued that biophysical synapses allow for more parameters to be packed into a given number of neurons and synapses, and that the nonlinear transformations can be formulated as a linear system with state-dependent coefficients. The paper provides evidence for these claims on various time-series prediction tasks, and suggests that the results are applicable to any feedforward or recurrent ANN. It also discusses the use of NeuralODEs, Mujoco, and the State-Dependent Riccati Equation (SDRE) Control, as well as the torchdyn package and the LISI type of RNN."
